"SlNo","ItemCode","Item Name","UOM","Stock","LRD","LID","Value","BalValue","W/of Date","C/R/I/ST","Location",""
"1104","4510046","V - BELT A-46","NOS","11","21-Jan-2017","9-Apr-2018","1379.42","","","","",""
"1105","4510048","V  - BELT A-48  (PACK OF MATCH SET 2NOS)","NOS","44","29-Jan-2018","28-Sep-2017","3554.67","","","","",""
"1106","4510050","V-BELT  A-50  (PACK OF MATCH SET 2)","NOS","93","29-Jan-2018","9-Jul-2018","8205.96","","","","",""
"1107","4510055","V-BELT A-55  MATCHED SET OF 2","NOS","20","12-Sep-2015","9-Jul-2018","1906.60","","","","",""
"1108","4510056","V-BELT A-56","NOS","8","21-Jan-2017","8-Aug-2017","689.49","","","","",""
"1109","4510059","V-BELT A-59","NOS","33","10-Nov-2012","19-Feb-2018","2428.04","","","","",""
"1110","4510060","V - BELT A-60","NOS","10","21-Jan-2017","6-Mar-2017","895.24","","","","",""
"1111","4510063","V - BELT A-63","NOS","8","12-Sep-2015","14-Jun-2016","629.71","","","","",""
"1112","4510065","V-BELT A-65","NOS","16","2-Jan-2018","6-Mar-2017","1632.00","","","","",""
"1113","4510068","V -  BELT A-68","NOS","10","2-Jan-2018","21-Jun-2016","1070.00","","","","",""
"1114","4510084","V-BELT A-84","NOS","10","2-Jan-2018","21-Jul-2018","1692.36","","","","",""
"1115","4511040","V-BELT B-40","NOS","15","21-Jan-2017","24-Apr-2015","1157.87","","","","",""
"1116","4511044","V-BELT B-44","NOS","7","21-Jan-2017","8-May-2018","975.59","","","","",""
"1117","4511046","V - BELT B-46","NOS","14","2-Jan-2018","22-Aug-2017","1361.90","","","","",""
"1118","4511048","V - BELT B-48","NOS","4","2-Jan-2018","28-Jun-2018","800.00","","","","",""
"1119","4511052","V-BELT B-52","NOS","46","21-Jan-2017","7-Jul-2018","5071.44","","","","",""
"1120","4511053","V-BELT B-53","NOS","53","21-Jan-2017","6-Mar-2017","5288.80","","","","",""
"1121","4511055","V-BELT B-55","NOS","12","2-Jan-2018","5-Jul-2018","2280.00","","","","",""
